activity_year,loan_type,action_taken,loan_purpose,business_or_commercial_purpose,construction_method,occupancy_type,state_code,county_name,loan_amount,income,loan_term,property_value,total_units
2022,1,1,1,2,1,1,AZ,Pinal County  ,1085000,447000.0,360.0,1395000.0,1
2022,1,1,1,2,1,2,AZ,Maricopa County  ,685000,211000.0,360.0,855000.0,1
2022,1,1,1,2,1,1,CA,Santa Clara County ,2795000,607000.0,360.0,3525000.0,1
2022,1,1,1,2,1,1,CA,Los Angeles County ,1485000,329000.0,360.0,1855000.0,1
2022,1,1,1,2,1,1,CT,Fairfield County  ,1175000,330000.0,360.0,3115000.0,1
2022,1,1,1,2,1,1,NJ,Warren County  ,235000,74000.0,360.0,365000.0,2
2022,1,1,1,2,1,2,MN,Cass County  ,1325000,903000.0,360.0,1655000.0,1
2022,1,1,1,2,1,1,VA,Roanoke County  ,445000,165000.0,360.0,495000.0,1
2022,1,1,1,2,1,1,NJ,Monmouth County  ,185000,182000.0,360.0,405000.0,1
2022,1,1,1,2,1,1,WV,Fayette County  ,115000,44000.0,360.0,145000.0,1
2022,1,1,1,2,1,1,AZ,Maricopa County  ,1615000,545000.0,360.0,1905000.0,1
2022,1,1,1,2,1,1,PA,Philadelphia County  ,245000,72000.0,360.0,305000.0,1
2022,1,1,1,2,1,1,PA,Lancaster County  ,225000,61000.0,360.0,235000.0,1
2022,1,1,1,2,1,1,WA,Pierce County  ,575000,184000.0,360.0,665000.0,1
2022,1,1,1,2,1,1,NY,Bronx County  ,595000,156000.0,360.0,705000.0,2
2022,1,1,1,2,1,1,TX,Travis County  ,405000,125000.0,360.0,505000.0,1
2022,1,1,1,2,1,1,IL,Kane County  ,195000,75000.0,360.0,245000.0,1
2022,1,1,1,2,1,2,CA,Nevada County  ,1595000,1170000.0,360.0,1995000.0,1
2022,1,1,1,2,1,1,NJ,Essex County  ,2795000,580000.0,360.0,3505000.0,1
2022,1,1,1,2,1,1,IL,Cook County  ,495000,295000.0,360.0,555000.0,1
2022,1,1,1,2,1,1,NY,Rockland County  ,225000,83000.0,360.0,365000.0,1
2022,1,1,1,2,1,1,NJ,Passaic County  ,335000,130000.0,360.0,355000.0,1
2022,1,1,1,2,1,1,NY,Westchester County  ,235000,216000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,TX,El Paso County ,185000,149000.0,360.0,195000.0,1
2022,1,1,1,2,1,1,PA,Berks County  ,175000,50000.0,360.0,215000.0,1
2022,1,1,1,2,1,1,NY,Cortland County  ,215000,49000.0,360.0,225000.0,1
2022,1,1,1,2,1,1,FL,Orange County  ,215000,95000.0,360.0,355000.0,1
2022,1,1,1,2,1,1,CO,Weld County  ,695000,450000.0,360.0,875000.0,1
2022,1,1,1,2,1,1,OH,Miami County  ,195000,66000.0,360.0,245000.0,1
